0	52	131	23	10	12	13	53	9	1488	18	134	918	1526	2484	304	531	13	38	39	29	15	8	26	403	23	54	56	3186	22	26	27	14	60	30	42	40	14	13	15	38	9	25	11	61	6743	18	16	8	45	38	12	54	9	109	10	28	15	22	7	14	5	31	27	18	348	6	55	22	36	10	20	13	176	2015	8	96	381	63	10	86	130	4	45	9	39	87	24	610	24	8	29	16	36	163	13	88	9	16	11	14	101	358	45	8	24	258	28	410	46	8	23	9	42	13	209	7083	22	11	2263	78	205	294	24	159	9	32	12	18	121	35	26	10	15	36	9	399	23	9	44	72	411	13	31	26	78	1200	50	30	24	14	74	40	18	35	23	222	234	35	233	23	151	36	28	14	21	5	11	34	97	27	14	38	12	16	9	1534	13
52	0	362	1033	400	461	1982	2.5812e+05	5	120	547	42250	758	567	80	1781	23	1309	3178	8582	34481	3118	831	12289	227	2192	164	22749	30	624	17	2668	923	528	1463	6542	1783	590	881	676	1548	107	2117	404	990	57	3121	502	8	5076	1908	242	479	299	6666	523	2701	119	3204	263	2309	35	1016	2706	559	1652	120	8647	841	1310	52	2735	611	653	39	95	15	1338	279	25	132	2039	14	2188	45	6837	2253	1054	32	1301	17	732	2294	1503	1039	182	6668	630	2433	17	1361	927	114	1107	83	2564	20	1668	27	462	35	219	123	11456	28	17	75	854	2626	91	1066	4080	952	3363	20	42	156	92	1155	2754	6820	313	301	394	4107	69	223	135	472	4270	5084	355	2753	462	54	271	24	26266	2050	940	442	1686	1977	1530	852	2135	21	439	1106	152	1007	2644	1518	1427	763	2821	16	1469	3482	494	3168	152	3884	1761	744	96	108	2322
131	362	0	2187	84	86	92	1993	13	289	96	5764	6722	1223	110	33783	29	334	5910	255	1055	540	70	3584	6131	622	224	8620	53	160	37	368	152	2666	1336	682	320	63	56	71	8504	72	452	29	2208	143	302	136	9	9955	48988	59	2784	34	1484	45	278	104	804	20	310	9	301	320	101	9222	13	3679	111	126	31	175	145	976	80	31	14	12444	6071	33	794	135	18	710	61	996	7229	231	116	219	32	129	324	1140	29695	40	13962	261	429	27	83	1025	216	2269	33	275	21	2716	36	21300	32	111	19	8812	48	20	128	139	105	722	8837	5763	1070	2285	21	14	36	80	161	9590	570	106	62	117	1814	64	13260	182	124	659	699	27038	180	357	102	1185	26	1732	200	217	111	11670	11428	114	5614	501	15	13420	234	603	199	6801	301	143	189	1326	16	106	1862	19554	141	65	604	94	206	39	477	179
23	1033	2187	0	247	2875	4791	3785	32	36	4368	1995	246	130	36	632	16	4386	97598	932	9939	8371	1634	23043	126	29003	309	11983	19	594	413	23310	16757	2198	17604	54328	2638	4509	3231	1537	46026	1254	35727	878	1260	18	16024	3609	99	4386	10161	1513	418	378	9241	811	2512	2619	9837	332	8423	134	3368	10226	4069	284	226	11151	482	6919	112	18023	2084	79	20	348	9	283	1644	87	281	11817	54	899	320	20909	62816	3969	27	6357	104	1280	17363	26033	495	489	3406	1983	22138	27	3286	303	32	6935	347	1992	14	11568	15	3727	271	833	175	4355	484	10	31	4005	10304	52	3939	207	113	52806	15	288	460	334	7832	1079	4952	524	852	711	10142	200	643	2263	2130	30200	2881	368	12623	2227	675	2647	16	2099	536	727	1637	2400	2774	5727	4510	28407	12	165	8483	69	1572	2350	1876	6608	2337	31712	52	18762	70653	1241	861	1590	8058	11176	3485	271	40	4471
10	400	84	247	0	21794	10073	247	86	13	21370	91	23	30	14	52	8	4877	245	544	5036	507	15260	495	33	453	143	349	17	7523	2419	2066	11890	105	241	847	7727	11309	2226	14045	493	17616	868	12733	112	14	6806	11481	795	447	197	18945	71	18520	412	21709	2162	2047	5046	16681	1325	3559	15353	8010	14540	50	15955	791	2.1593e+05	6180	8663	8780	1035	24	14	8267	8	84	125	1339	84	2400	640	143	3213	3865	301	4995	16	2169	684	12452	596	315	96	5080	95	13481	987	289	5579	72	15	241	10311	11330	11	244	12	146	8268	20900	11343	221	2187	16	30	14262	1862	42	141	26	24	205	16	3184	17857	3707	1958	109	782	4703	16871	3175	1247	15028	45	17696	11142	3651	1965	64	2174	8106	10575	148	10	359	533	912	5221	160	103	5052	141	458	9	43	714	44	170	142	13187	3469	22996	844	3053	2435	333	87	1425	21773	6389	3064	17860	2784	28	6184
12	461	86	2875	21794	0	1.4489e+05	632	127	21	2.1941e+05	62	48	26	12	92	7	1.3002e+05	523	1462	40702	6381	1.599e+05	1307	32	31031	282	271	16	2188	730	50776	1.4561e+05	179	4118	38176	1.8459e+05	1.6204e+05	1.7527e+05	1.3955e+05	6905	1.4165e+05	35365	1.6991e+05	305	16	73701	57479	68	2268	479	1.5826e+05	24	1.927e+05	2345	1.5371e+05	19288	16909	24648	1.1652e+05	5147	2354	45262	86279	76803	91	1.2191e+05	919	43922	46875	20938	1.2424e+05	9941	20	16	1.0404e+05	4	38	253	8084	121	1.1775e+05	210	61	13565	43293	448	34183	16	20566	3510	2.2336e+05	6248	1658	65	62600	156	2.4738e+05	48541	273	1.8732e+05	24	13	2826	1.0409e+05	74175	17	2774	14	1018	27811	2.2641e+05	62747	233	40685	14	20	2.0524e+05	1.1549e+05	35	349	19	28	4311	8	2935	62725	37733	19746	95	21915	11934	1.3186e+05	1557	8821	19671	60	2.5316e+05	2.0868e+05	41370	4631	40	76342	44727	2.7175e+05	209	13	907	1891	657	1.662e+05	303	289	1.9391e+05	394	3918	9	51	4856	63	285	875	1.7876e+05	70955	2.2023e+05	28004	245	1.6349e+05	10575	158	2480	4.2845e+05	1.0525e+05	76901	1.9477e+05	12521	30	68808
13	1982	92	4791	10073	1.4489e+05	0	1095	66	16	1.917e+05	269	14	18	46	43	5	7.0067e+05	1208	3233	85275	17798	5.7708e+05	21476	35	46360	471	964	17	15054	444	55559	6.0463e+05	348	3516	93105	1.9532e+05	1.8692e+05	1.192e+05	5.945e+05	4933	1.2146e+05	1.6401e+05	2.7751e+05	1783	14	2.3948e+05	52945	58	1922	1225	2.7857e+05	74	1.1356e+05	5361	3.9075e+05	29507	12029	1.9173e+05	32397	25980	725	35035	7.3433e+05	1.1942e+05	579	55768	7183	51402	4.4667e+05	648	5.2127e+05	16571	32	13	37091	5	86	426	1114	110	1.0024e+05	196	282	3851	63538	1509	4.998e+05	30	46955	1112	3.3299e+05	40609	2158	166	14886	149	8.8743e+05	2.0928e+05	177	2.5979e+05	77	14	1546	14440	2.2656e+05	9	7269	20	1657	2435	89734	3436	1385	10248	9	27	8.1261e+05	9.1367e+05	36	797	29	32	12748	4	1379	5462	24921	41327	297	1.5528e+05	2655	2.1034e+05	3139	72707	19822	63	1.6529e+05	2.6547e+05	1.2653e+05	21347	60	1.7203e+05	32737	34197	356	10	1732	1474	1726	2.1074e+05	1041	1248	4.2959e+05	1133	8021	9	73	10221	60	936	1420	3.0841e+05	2.1393e+05	7.152e+05	37481	115	4.666e+05	10192	163	2729	1.0924e+05	4.0644e+05	1.668e+05	2.3825e+05	1231	36	2.1637e+05
53	2.5812e+05	1993	3785	247	632	1095	0	19	123	311	16271	380	208	72	3707	18	2381	77373	11895	9854	15553	639	24138	267	10845	328	1.1627e+05	22	974	29	2716	1609	1049	4188	25518	2605	573	874	992	12491	374	11820	350	2073	67	13087	1182	12	27766	30448	663	432	183	45250	225	6383	307	5967	132	6134	43	6715	3283	1003	13290	54	21516	665	933	80	3159	404	247	44	169	10	4244	1391	30	233	1792	25	6322	47	12221	45535	628	27	2252	10	1356	5486	3128	5178	173	25359	259	14350	24	2815	1006	70	2143	113	2362	14	11890	23	1867	64	421	42	73107	45	16	34	570	2324	84	7014	844	214	20090	11	84	277	184	1511	4486	10910	567	467	352	18787	152	2146	281	340	5551	16555	926	3503	6970	645	429	21	34202	730	646	339	3429	2204	3273	2316	4266	16	561	1552	194	1711	4932	2215	945	888	12636	44	986	29181	899	1391	260	3858	1938	1569	68	147	2582
9	5	13	32	86	127	66	19	0	11	76	22	21	13	12	22	9	38	20	49	34	17	111	31	11	28	25	50	8	32	1136	48	26	11	14	30	114	52	56	54	14	65	41	110	16	11	31	113	50532	15	21	244	14	141	52	264	63	30	46	506	17	2751	31	48	58	34	528	51	27	30	341	105	67	14	7	106	26	18	29	17290	25	25	37327	9	242	146	16	26	12	63	45349	93	25	30	62	83	12	70	46	9293	45	18	9	31	554	81	16	16	8	18	842	164	581	20	426	16	14	220	35	9	20	18	50	24	7	1514	51	57	36	11	21	25	220	42	32	194	22	108	61	41	12	9	32	12	140	26	8	32	46	25	99	24	22	56	16	30	9	12	61	9	8	42	34	48	207	28	4561	29	15	18	5	145	52	164	174	348	7	68
1488	120	289	36	13	21	16	123	11	0	24	80	365	3829	2841	393	129	21	36	62	36	36	15	44	708	42	44	106	856	37	22	37	28	70	53	42	28	26	23	25	88	21	32	19	105	3039	26	25	9	76	60	13	157	12	59	15	45	34	30	14	42	6	30	31	39	406	15	77	33	20	17	36	25	342	626	14	67	331	67	10	149	30	14	41	17	51	90	26	483	31	9	27	36	43	302	14	152	30	42	24	23	158	1517	68	18	24	137	56	618	113	9	30	14	78	15	86	4840	42	24	4325	96	210	396	77	186	9	16	22	39	129	44	45	15	30	37	20	523	20	21	39	69	309	55	32	20	97	232	53	26	42	25	54	83	27	43	48	124	368	27	537	40	128	31	23	26	46	8	31	55	147	28	13	48	22	27	12	1374	16
