gene	GSM446731	GSM446732	GSM446733	GSM446734	GSM446735	GSM446736	GSM446737	GSM446738	GSM446739	GSM446740	GSM446741	GSM446742	GSM446743	GSM446744	GSM446745	GSM446746	GSM446747	GSM446748	GSM446749	GSM446750	GSM446751	GSM446752	GSM446753	GSM446754	GSM446755	GSM446756	GSM446757	GSM388115	GSM388116	GSM388117	GSM388118	GSM388119	GSM388120	GSM388121	GSM388122	GSM388123	GSM388124	GSM388125	GSM388126	GSM388127	GSM388128	GSM388129	GSM388130	GSM388131	GSM388132	GSM388133	GSM388134	GSM388135	GSM388136	GSM388137	GSM388138	GSM388139	GSM388140	GSM388141	GSM388142	GSM388143	GSM388144	GSM388145	GSM388146	GSM388147	GSM388148	GSM388149	GSM388150	GSM388151	GSM388152	GSM388153
ZNF521	6.037317403	5.392565296	4.970816883	5.578450444	5.445167849	5.07498616	5.890061852	5.780260954	4.746328831	5.979402359	5.169730542	5.324573067	5.715101067	5.199964891	5.34781828	5.819738378	5.207039056	5.172608053	6.042015098	4.966093438	5.363552314	5.372588126	5.404603518	5.94749552	5.361003914	5.14579699	5.246257601	5.765577261	5.477777001	5.576666703	5.407554332	5.10106363	5.066737245	5.919489361	6.256426965	4.751288317	5.301621846	5.942053486	5.298606686	5.036090239	6.280522944	5.408271287	6.418201476	5.616891693	4.694888541	5.836123577	4.806145785	5.869688619	5.79230414	4.279773957	5.34621237	5.281584364	4.459288261	5.723339127	5.223601307	4.875373173	6.135624618	5.058873474	5.610951411	5.008262086	4.673836668	5.832062912	6.035118736	5.873686711	5.779034971	5.327900003
ZNF423	8.235282691	7.81363665	6.953546824	7.955618188	6.908777955	6.602261642	8.094528923	7.137479596	7.184848794	7.835737796	7.44057355	7.131907017	8.021339552	7.535475119	7.889319699	7.479413381	8.373342036	7.865270066	6.293676957	7.806847879	6.723923331	7.762224303	7.537253775	8.663168943	9.113695088	7.733278733	7.669330603	6.794628856	7.024968961	7.731612703	7.657199034	7.605661174	7.44515307	7.828847735	8.589206588	7.67626289	7.232788738	8.15555982	6.640990122	7.479896029	8.16505473	7.558380567	8.393782177	7.927350966	7.251295695	7.671684451	7.401300909	8.108780689	8.266687276	5.295430298	7.326132483	7.741800483	7.422093116	8.361962673	7.034214769	7.115574401	7.677248929	7.257994198	7.720770289	7.50435623	7.603175752	7.51083006	8.583381307	8.032959345	8.207581164	7.459471812
ZNF367	5.205530643	3.909713888	5.358057336	4.487425868	5.842448574	4.481464238	3.917325919	3.945624304	4.412678541	4.709505254	4.998541786	4.654998554	4.49831012	4.250282444	4.630849222	3.787324629	4.319594278	3.919582164	3.975866674	4.365903931	5.347951318	3.833504691	3.962153596	3.85986235	4.486394667	4.206662725	4.209066992	5.289400378	5.83978886	4.156613423	4.290597674	4.369105495	4.617611503	4.492419919	4.001358972	4.411025495	4.696002621	4.450751642	5.050131322	3.923189979	3.569021889	4.482574375	4.082567217	3.928483933	3.372880397	4.005031794	3.838592895	3.798136022	4.023137526	5.924895067	4.900505873	5.080933439	4.174056975	4.692480898	4.899706918	4.327189695	5.355604596	4.07330048	4.328089607	5.005180309	4.047852087	4.144448804	4.118098401	4.46492974	4.334777417	3.972034376
ZNF281	5.260277423	6.055331716	5.045217663	4.73697122	5.54975232	4.801071794	5.448670997	5.073784673	6.03657592	4.805294737	5.168924182	5.643018889	5.698826548	5.032589064	5.109901675	4.89565936	4.700052019	4.756536675	4.934261536	5.093303515	5.387784435	5.137797032	4.905140997	5.432708524	5.382492144	4.837943347	5.235098072	6.052776927	5.970962428	5.581756573	5.005715233	5.133463934	4.923837058	5.946596729	5.577260478	4.969933844	5.329100977	5.025707911	5.292840534	5.399738896	5.111592972	6.058177927	4.775707047	4.950353702	4.673299473	4.962828244	4.53327489	4.665367928	5.648910289	5.918497783	5.506045935	4.928168854	4.274004989	5.459645995	5.050996834	4.837252351	6.072069716	4.352661975	5.195760646	4.960889136	4.545965894	5.491615154	5.154940352	5.469400696	5.331777541	4.516352227
ZNF169	4.693268972	4.61373501	5.036181595	5.238068445	5.00464167	4.918013119	4.779179281	4.73975415	4.795755712	4.770911182	4.769187834	4.965151567	4.817459178	5.013298335	5.33258147	4.691149197	5.119186724	5.097782608	5.515225282	5.073780646	4.672828117	4.621695593	5.385151464	4.879693022	5.057200163	4.931885057	5.413914417	4.992209328	4.7059542	5.201556812	4.909173728	5.032828372	4.732129492	4.83037298	4.835931354	5.198117552	5.026850638	4.916395173	4.896518146	4.953356021	5.398371001	4.840501745	4.586732005	5.090125728	5.118710184	4.964374626	5.23658358	4.618137998	4.717421806	4.612080453	4.782017618	4.878747132	5.29867422	5.020064147	4.923866845	5.184337378	4.507381754	5.562393451	4.360935321	4.977690161	5.378373619	5.158352312	4.855593873	5.118710184	4.987618047	5.184057439
ZG16	4.383607707	4.379097245	5.203228084	4.375901057	6.068831355	4.596602922	4.792144954	5.126363898	4.280513153	5.469625499	3.939515652	4.714302547	5.128037081	4.106933338	5.515666208	5.870206801	5.271399813	4.985341151	5.820141607	5.624105458	5.22329679	5.437015724	4.950668619	4.264875577	4.954481089	5.131263105	5.365827748	4.712363733	4.457410022	4.755372844	4.528987969	4.600874194	4.890669377	4.697683973	4.713250068	5.658490196	4.632669055	4.538202585	8.396021309	4.873664396	4.968539141	4.772847668	4.685180956	5.146937378	4.998113537	4.522546084	5.499537164	4.476340471	4.669270163	4.881566804	4.786823526	4.827061069	5.647792329	5.000956884	4.734591597	4.870969663	5.044964045	5.705245851	5.133828698	4.794138091	5.388069085	4.410324059	4.628458768	4.781026101	5.02054599	5.307599066
ZFYVE19	5.264199282	5.371527753	5.171028972	5.516798613	4.973470829	5.370311095	5.653920728	5.526802973	5.898041067	4.927015301	5.54369144	5.848786303	5.975522407	5.180501433	5.520432376	5.471674399	5.447486738	5.185383673	5.479292491	5.444011264	5.612726334	4.761284321	5.511217906	5.473676355	4.80489983	5.400534074	5.842451636	5.269892402	5.587752748	5.819315815	5.469467178	5.18114244	4.965146351	6.449461924	4.938706865	5.030453601	5.311839957	5.24588003	5.692624743	5.439012942	5.245755286	5.685299954	5.261425395	5.271395135	5.242119723	5.724002044	5.148182971	5.527391594	5.512670337	6.329143398	6.37711371	5.602139946	5.146974719	5.197247864	5.331684696	5.495758954	5.808566986	5.093235886	5.308071958	5.205711695	4.988240216	5.320477974	5.659207718	5.195607511	5.394691017	4.978875661
ZFY	3.556635919	3.19052926	3.565828841	3.586752411	2.964902087	3.148267548	3.330916587	4.82289076	3.412828457	3.119835207	3.094535712	3.271177133	3.332767793	3.845037427	3.076230475	3.831211724	3.696616594	3.583855693	2.812593489	4.869696323	2.769403253	3.649062966	3.191717958	3.92969937	3.583855693	3.399958536	3.22099025	2.455847583	2.418519789	4.690108821	4.408029711	2.513207488	2.707974614	5.303890382	4.401099109	2.686167118	4.338314151	4.534613913	3.716977528	2.622870258	3.613216121	2.509201604	4.382776511	3.748572227	3.941640284	2.421048071	2.628686924	4.235054969	2.483966612	3.471511206	5.176697716	2.580131171	2.603252777	2.643882616	4.685827895	2.50859744	3.762023996	2.606267018	2.52095495	4.334119009	2.521508108	4.479117338	2.559657069	2.538237933	5.108988227	3.906183289
ZFPM2	6.029728398	5.69980154	5.293590197	6.403204646	5.35688663	5.364527286	6.032309525	5.518323187	5.071201795	5.382695115	5.94163028	5.438052813	5.654908084	5.348416622	6.04069422	5.161632463	6.593082732	5.518323187	5.31204605	5.511602475	4.877957805	5.810551886	5.479616356	5.363719086	5.970046458	5.504983067	5.493174077	5.144493813	5.581286762	5.509612164	5.638311501	5.007651301	5.395896565	6.220767413	6.62374107	5.50076766	5.161944114	6.189162527	4.503262992	5.347358811	6.642396534	5.246414606	6.692946404	5.629061431	4.955732688	5.486944261	5.041227944	6.067526972	6.373115503	5.112438901	5.53020215	5.432000785	4.741940932	5.889938789	5.346084138	5.495637065	6.276186278	4.669474366	6.088045918	5.364121177	4.909227991	5.99651686	6.187723536	5.953829127	6.299263034	5.346223276
ZFP90	6.176697311	6.425271502	6.193932257	5.946519048	6.870299668	6.26850562	6.841770895	6.3932523	6.482267549	5.715398342	6.993045323	5.835430693	6.695461489	6.504105887	6.229906299	5.479640517	6.32146748	6.444483355	5.914743387	5.640790771	6.094459456	6.052446647	6.108576388	6.559258453	6.302082948	6.442396495	6.011268443	6.402414068	6.041668928	6.267731973	6.07046084	6.41419778	6.173593674	6.497176845	6.373232863	5.558683044	6.591364121	6.131327324	5.776443563	6.034640912	6.235497095	6.081938106	6.937684044	6.647465337	6.287843339	7.016131798	6.118813925	6.584921258	6.371485085	6.334245089	6.526608541	6.18891386	5.660526804	6.101247298	6.329449426	6.014138149	6.257336628	5.958681952	6.342339351	6.071422086	6.094668911	6.164272644	6.9793758	6.133663872	6.711321697	6.261707806
ZFP62	6.456338535	7.365803913	6.408376811	6.40345191	6.64440722	6.60441458	6.549779679	6.099771166	7.092022372	6.179354145	6.81064997	6.216053794	6.836597502	6.554442856	5.879143912	5.802829631	6.090682129	6.179354145	5.641285812	5.760148445	5.521986463	6.112623238	6.454057997	5.875222323	5.896357178	6.39760892	6.265946025	6.016464282	6.161579317	6.624843831	6.645755209	6.486167428	6.475146741	6.903495499	5.451506429	5.541705585	6.388452705	5.955094757	6.125440755	5.8758089	5.289335221	6.764112264	6.73710476	6.245014857	6.048025149	6.570222153	5.999426931	6.423733932	6.127545229	6.23964483	7.178949823	6.379942605	6.132834541	5.916649238	6.335623339	7.302758261	6.75300546	6.149535119	6.752479681	6.464854854	6.244632898	6.351793286	6.437983691	6.290978286	6.326522603	6.115235939
